category_id,category_name,category_description,category_values
41,Leaf size,What percentage of full size are most leaves?,"[{'value_id': 31, 'value_description': '', 'value_name': 'Less than 25%'}, {'value_id': 27, 'value_description': '', 'value_name': '25-49%'}, {'value_id': 28, 'value_description': '', 'value_name': '50-74%'}, {'value_id': 29, 'value_description': '', 'value_name': '75-94%'}, {'value_id': 30, 'value_description': '', 'value_name': '95% or more'}]"
42,Colored leaf percentage,What percentage of the canopy is full with colored leaves?,"[{'value_id': 25, 'value_description': '', 'value_name': 'Less than 5%'}, {'value_id': 26, 'value_description': '', 'value_name': '5-24%'}, {'value_id': 27, 'value_description': '', 'value_name': '25-49%'}, {'value_id': 28, 'value_description': '', 'value_name': '50-74%'}, {'value_id': 29, 'value_description': '', 'value_name': '75-94%'}, {'value_id': 30, 'value_description': '', 'value_name': '95% or more'}]"
43,Young leaves present (10000),How many young leaves are present?,"[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 39, 'value_description': '', 'value_name': '11 to 100'}, {'value_id': 40, 'value_description': '', 'value_name': '101 to 1,000'}, {'value_id': 41, 'value_description': '', 'value_name': '1,001 to 10,000'}, {'value_id': 42, 'value_description': '', 'value_name': 'More than 10,000'}]"
44,Young needles present (10000),How many young needles are present?,"[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 39, 'value_description': '', 'value_name': '11 to 100'}, {'value_id': 40, 'value_description': '', 'value_name': '101 to 1,000'}, {'value_id': 41, 'value_description': '', 'value_name': '1,001 to 10,000'}, {'value_id': 42, 'value_description': '', 'value_name': 'More than 10,000'}]"
45,Emerging needles (10000),How many needles or needle bundles are emerging?,"[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 39, 'value_description': '', 'value_name': '11 to 100'}, {'value_id': 40, 'value_description': '', 'value_name': '101 to 1,000'}, {'value_id': 41, 'value_description': '', 'value_name': '1,001 to 10,000'}, {'value_id': 42, 'value_description': '', 'value_name': 'More than 10,000'}]"
46,Needle canopy fullness (dead branch),What percentage of the canopy is full with needles? Ignore dead branches in your estimate.,"[{'value_id': 25, 'value_description': '', 'value_name': 'Less than 5%'}, {'value_id': 26, 'value_description': '', 'value_name': '5-24%'}, {'value_id': 27, 'value_description': '', 'value_name': '25-49%'}, {'value_id': 28, 'value_description': '', 'value_name': '50-74%'}, {'value_id': 29, 'value_description': '', 'value_name': '75-94%'}, {'value_id': 30, 'value_description': '', 'value_name': '95% or more'}]"
47,Colored needle percentage,What percentage of the canopy is full with colored needles? ,"[{'value_id': 25, 'value_description': '', 'value_name': 'Less than 5%'}, {'value_id': 26, 'value_description': '', 'value_name': '5-24%'}, {'value_id': 27, 'value_description': '', 'value_name': '25-49%'}, {'value_id': 28, 'value_description': '', 'value_name': '50-74%'}, {'value_id': 29, 'value_description': '', 'value_name': '75-94%'}, {'value_id': 30, 'value_description': '', 'value_name': '95% or more'}]"
48,Flowers and flower buds (10000),"How many flowers and flower buds are present? For species in which individual flowers are clustered in flower heads, spikes or catkins (inflorescences), simply estimate the number of flower heads, spikes or catkins and not the number of individual flowers.","[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 39, 'value_description': '', 'value_name': '11 to 100'}, {'value_id': 40, 'value_description': '', 'value_name': '101 to 1,000'}, {'value_id': 41, 'value_description': '', 'value_name': '1,001 to 10,000'}, {'value_id': 42, 'value_description': '', 'value_name': 'More than 10,000'}]"
49,Flowers and flower buds (1000),"How many flowers and flower buds are present? For species in which individual flowers are clustered in flower heads, spikes or catkins (inflorescences), simply estimate the number of flower heads, spikes or catkins and not the number of individual flowers.","[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 39, 'value_description': '', 'value_name': '11 to 100'}, {'value_id': 40, 'value_description': '', 'value_name': '101 to 1,000'}, {'value_id': 43, 'value_description': '', 'value_name': 'More than 1,000'}]"
50,Open flowers percentage (individual),"What percentage of all fresh flowers (buds plus unopened plus open) on the plant are open?  For species in which individual flowers are clustered in flower heads, spikes or catkins (inflorescences), estimate the percentage of all individual flowers that are open.","[{'value_id': 25, 'value_description': '', 'value_name': 'Less than 5%'}, {'value_id': 26, 'value_description': '', 'value_name': '5-24%'}, {'value_id': 27, 'value_description': '', 'value_name': '25-49%'}, {'value_id': 28, 'value_description': '', 'value_name': '50-74%'}, {'value_id': 29, 'value_description': '', 'value_name': '75-94%'}, {'value_id': 30, 'value_description': '', 'value_name': '95% or more'}]"
51,Pollen release,How much pollen is released?,"[{'value_id': 44, 'value_description': 'Only a few grains are released.', 'value_name': 'Little'}, {'value_id': 45, 'value_description': 'Many grains are released.', 'value_name': 'Some'}, {'value_id': 46, 'value_description': 'A layer of pollen covers your palm, or a cloud of pollen can be seen in the air when the wind blows ', 'value_name': 'Lots'}]"
52,Flower heads present (1000),How many fresh flower heads are present?,"[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 39, 'value_description': '', 'value_name': '11 to 100'}, {'value_id': 40, 'value_description': '', 'value_name': '101 to 1,000'}, {'value_id': 43, 'value_description': '', 'value_name': 'More than 1,000'}]"
53,Open flowers percentage,What percentage of all fresh flowers (unopened plus open) on the plant are open? ,"[{'value_id': 25, 'value_description': '', 'value_name': 'Less than 5%'}, {'value_id': 26, 'value_description': '', 'value_name': '5-24%'}, {'value_id': 27, 'value_description': '', 'value_name': '25-49%'}, {'value_id': 28, 'value_description': '', 'value_name': '50-74%'}, {'value_id': 29, 'value_description': '', 'value_name': '75-94%'}, {'value_id': 30, 'value_description': '', 'value_name': '95% or more'}]"
54,Pollen cones present (10000),How many fresh pollen cones are present?,"[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 39, 'value_description': '', 'value_name': '11 to 100'}, {'value_id': 40, 'value_description': '', 'value_name': '101 to 1,000'}, {'value_id': 41, 'value_description': '', 'value_name': '1,001 to 10,000'}, {'value_id': 42, 'value_description': '', 'value_name': 'More than 10,000'}]"
55,Open pollen cones percentage,What percentage of all fresh pollen cones (unopened plus open) on the plant are open? ,"[{'value_id': 25, 'value_description': '', 'value_name': 'Less than 5%'}, {'value_id': 26, 'value_description': '', 'value_name': '5-24%'}, {'value_id': 27, 'value_description': '', 'value_name': '25-49%'}, {'value_id': 28, 'value_description': '', 'value_name': '50-74%'}, {'value_id': 29, 'value_description': '', 'value_name': '75-94%'}, {'value_id': 30, 'value_description': '', 'value_name': '95% or more'}]"
56,Fruits present (10000),How many fruits are present?,"[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 39, 'value_description': '', 'value_name': '11 to 100'}, {'value_id': 40, 'value_description': '', 'value_name': '101 to 1,000'}, {'value_id': 41, 'value_description': '', 'value_name': '1,001 to 10,000'}, {'value_id': 42, 'value_description': '', 'value_name': 'More than 10,000'}]"
57,Fruits present (1000),How many fruits are present?,"[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 39, 'value_description': '', 'value_name': '11 to 100'}, {'value_id': 40, 'value_description': '', 'value_name': '101 to 1,000'}, {'value_id': 43, 'value_description': '', 'value_name': 'More than 1,000'}]"
58,Ripe fruit percentage,What percentage of all fruits (unripe plus ripe) on the plant are ripe? ,"[{'value_id': 25, 'value_description': '', 'value_name': 'Less than 5%'}, {'value_id': 26, 'value_description': '', 'value_name': '5-24%'}, {'value_id': 27, 'value_description': '', 'value_name': '25-49%'}, {'value_id': 28, 'value_description': '', 'value_name': '50-74%'}, {'value_id': 29, 'value_description': '', 'value_name': '75-94%'}, {'value_id': 30, 'value_description': '', 'value_name': '95% or more'}]"
59,Recent fruit or seed drop (10000),How many mature fruits have dropped seeds or have completely dropped or been removed from the plant since your last visit?,"[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 39, 'value_description': '', 'value_name': '11 to 100'}, {'value_id': 40, 'value_description': '', 'value_name': '101 to 1,000'}, {'value_id': 41, 'value_description': '', 'value_name': '1,001 to 10,000'}, {'value_id': 42, 'value_description': '', 'value_name': 'More than 10,000'}]"
60,Recent fruit or seed drop (1000),How many mature fruits have dropped seeds or have completely dropped or been removed from the plant since your last visit?,"[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 39, 'value_description': '', 'value_name': '11 to 100'}, {'value_id': 40, 'value_description': '', 'value_name': '101 to 1,000'}, {'value_id': 43, 'value_description': '', 'value_name': 'More than 1,000'}]"
61,Unripe seed cones present (10000),How many seed cones are unripe?,"[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 39, 'value_description': '', 'value_name': '11 to 100'}, {'value_id': 40, 'value_description': '', 'value_name': '101 to 1,000'}, {'value_id': 41, 'value_description': '', 'value_name': '1,001 to 10,000'}, {'value_id': 42, 'value_description': '', 'value_name': 'More than 10,000'}]"
62,Ripe seed cones present (10000),How many seed cones are ripe?,"[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 39, 'value_description': '', 'value_name': '11 to 100'}, {'value_id': 40, 'value_description': '', 'value_name': '101 to 1,000'}, {'value_id': 41, 'value_description': '', 'value_name': '1,001 to 10,000'}, {'value_id': 42, 'value_description': '', 'value_name': 'More than 10,000'}]"
63,Recent cone or seed drop (10000),How many seed cones have dropped seeds or have completely dropped or been removed from the plant since your last visit?,"[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 39, 'value_description': '', 'value_name': '11 to 100'}, {'value_id': 40, 'value_description': '', 'value_name': '101 to 1,000'}, {'value_id': 41, 'value_description': '', 'value_name': '1,001 to 10,000'}, {'value_id': 42, 'value_description': '', 'value_name': 'More than 10,000'}]"
64,New side branches (1000),How many new side branches are present?,"[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 39, 'value_description': '', 'value_name': '11 to 100'}, {'value_id': 40, 'value_description': '', 'value_name': '101 to 1,000'}, {'value_id': 43, 'value_description': '', 'value_name': 'More than 1,000'}]"
65,Receptacles (1000),How many receptacles are present?,"[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 39, 'value_description': '', 'value_name': '11 to 100'}, {'value_id': 40, 'value_description': '', 'value_name': '101 to 1,000'}, {'value_id': 43, 'value_description': '', 'value_name': 'More than 1,000'}]"
66,Receptacles percentage,What percent of all receptacles on the plant are in this stage?,"[{'value_id': 25, 'value_description': '', 'value_name': 'Less than 5%'}, {'value_id': 26, 'value_description': '', 'value_name': '5-24%'}, {'value_id': 27, 'value_description': '', 'value_name': '25-49%'}, {'value_id': 28, 'value_description': '', 'value_name': '50-74%'}, {'value_id': 29, 'value_description': '', 'value_name': '75-94%'}, {'value_id': 30, 'value_description': '', 'value_name': '95% or more'}]"
67,Hexagenia mayfly emergence,What is the intensity of emergence?,"[{'value_id': 47, 'value_description': 'Less than 100 individuals are seen within the immediate observation area (approximately 5 feet in any direction).', 'value_name': 'Slight'}, {'value_id': 48, 'value_description': 'Between 100 and 500 individuals are seen within the immediate observation area (approximately 5 feet in any direction).', 'value_name': 'Light'}, {'value_id': 49, 'value_description': 'Consistent coverage of surfaces is seen (ground, building walls and windows, vegetation, etc.), or small groups of individuals are seen under lights.', 'value_name': 'Moderate'}, {'value_id': 50, 'value_description': 'Thick coverage of surfaces is seen, or very noticeable groups of individuals, including small to medium piles, are seen under lights.', 'value_name': 'Heavy'}, {'value_id': 51, 'value_description': 'Very thick coverage of surfaces is seen (with minimal surface area exposed), or large groups of individuals, including large piles, are seen under lights.', 'value_name': 'Very heavy'}]"
68,Hexagenia mayfly death,What is the intensity of death?,"[{'value_id': 47, 'value_description': 'Less than 100 individuals are seen within the immediate observation area (approximately 5 feet in any direction).', 'value_name': 'Slight'}, {'value_id': 48, 'value_description': 'Between 100 and 500 individuals are seen within the immediate observation area (approximately 5 feet in any direction).', 'value_name': 'Light'}, {'value_id': 49, 'value_description': 'Consistent coverage of surfaces is seen (ground, building walls and windows, vegetation, etc.), or small groups of individuals are seen under lights.', 'value_name': 'Moderate'}, {'value_id': 50, 'value_description': 'Thick coverage of surfaces is seen, or very noticeable groups of individuals, including small to medium piles, are seen under lights.', 'value_name': 'Heavy'}, {'value_id': 51, 'value_description': 'Very thick coverage of surfaces is seen (with minimal surface area exposed), or large groups of individuals, including large piles, are seen under lights.', 'value_name': 'Very heavy'}]"
69,Young needle bundles present (10000),"How many bundles with young needles are present?
","[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 39, 'value_description': '', 'value_name': '11 to 100'}, {'value_id': 40, 'value_description': '', 'value_name': '101 to 1,000'}, {'value_id': 41, 'value_description': '', 'value_name': '1,001 to 10,000'}, {'value_id': 42, 'value_description': '', 'value_name': 'More than 10,000'}]"
70,Emerging needle bundles (10000),"How many needle bundles are emerging?
","[{'value_id': 32, 'value_description': '', 'value_name': 'Less than 3'}, {'value_id': 33, 'value_description': '', 'value_name': '3 to 10'}, {'value_id': 39, 'value_description': '', 'value_name': '11 to 100'}, {'value_id': 40, 'value_description': '', 'value_name': '101 to 1,000'}, {'value_id': 41, 'value_description': '', 'value_name': '1,001 to 10,000'}, {'value_id': 42, 'value_description': '', 'value_name': 'More than 10,000'}]"
71,Potential needle canopy fullness (dead branch),"What percentage of the potential canopy space is full with needles? Ignore dead branches in your estimate of potential canopy space.
","[{'value_id': 25, 'value_description': '', 'value_name': 'Less than 5%'}, {'value_id': 26, 'value_description': '', 'value_name': '5-24%'}, {'value_id': 27, 'value_description': '', 'value_name': '25-49%'}, {'value_id': 28, 'value_description': '', 'value_name': '50-74%'}, {'value_id': 29, 'value_description': '', 'value_name': '75-94%'}, {'value_id': 30, 'value_description': '', 'value_name': '95% or more'}]"
72,Potential needle canopy color (dead branch),"What percentage of the potential canopy space is full with non-green needle color? Ignore dead branches in your estimate of potential canopy space.
","[{'value_id': 25, 'value_description': '', 'value_name': 'Less than 5%'}, {'value_id': 26, 'value_description': '', 'value_name': '5-24%'}, {'value_id': 27, 'value_description': '', 'value_name': '25-49%'}, {'value_id': 28, 'value_description': '', 'value_name': '50-74%'}, {'value_id': 29, 'value_description': '', 'value_name': '75-94%'}, {'value_id': 30, 'value_description': '', 'value_name': '95% or more'}]"
73,Potential leaf canopy fullness (dead branch),"What percentage of the potential canopy space is full with leaves? Ignore dead branches in your estimate of potential canopy space.
","[{'value_id': 25, 'value_description': '', 'value_name': 'Less than 5%'}, {'value_id': 26, 'value_description': '', 'value_name': '5-24%'}, {'value_id': 27, 'value_description': '', 'value_name': '25-49%'}, {'value_id': 28, 'value_description': '', 'value_name': '50-74%'}, {'value_id': 29, 'value_description': '', 'value_name': '75-94%'}, {'value_id': 30, 'value_description': '', 'value_name': '95% or more'}]"
74,Potential leaf canopy color (dead branch),"What percentage of the potential canopy space is full with non-green leaf color? Ignore dead branches in your estimate of potential canopy space.
","[{'value_id': 25, 'value_description': '', 'value_name': 'Less than 5%'}, {'value_id': 26, 'value_description': '', 'value_name': '5-24%'}, {'value_id': 27, 'value_description': '', 'value_name': '25-49%'}, {'value_id': 28, 'value_description': '', 'value_name': '50-74%'}, {'value_id': 29, 'value_description': '', 'value_name': '75-94%'}, {'value_id': 30, 'value_description': '', 'value_name': '95% or more'}]"
75,Courtship calling,What is the intensity of calling?,"[{'value_id': 20, 'value_description': 'There is space between calls and individuals can be counted.', 'value_name': 'Single calls'}, {'value_id': 21, 'value_description': 'Calls of individuals can be distinguished but there is some overlapping of calls.', 'value_name': 'Overlapping calls'}, {'value_id': 22, 'value_description': 'Calls are constant and overlapping.', 'value_name': 'Full chorus'}]"
77,,,[]
